127.0.0.1 - - [17/Sep/2020:00:50:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:21 +0900] "GET /My_JSP_Project/ HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/css/form-elements.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/js/jquery.backstretch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:22 +0900] "GET /My_JSP_Project/resources/assets/js/scripts.js HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:23 +0900] "GET /My_JSP_Project/WebContent/resources/assets/img/backgrounds/login_back.jpg HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:23 +0900] "GET /My_JSP_Project/resources/assets/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/common/registForm.do HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/vendor/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/vendor/jquery-ui/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/vendor/jquery-validation/dist/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/vendor/jquery-validation/dist/additional-methods.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:30 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:31 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/fonts/montserrat/Montserrat-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:32 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/fonts/montserrat/Montserrat-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:52:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:53:05 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:53:09 +0900] "GET /My_JSP_Project/resources/colorlib-regform-14/fonts/montserrat/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:00:53:16 +0900] "POST /My_JSP_Project/common/registForm.do HTTP/1.1" 200 5795
