127.0.0.1 - - [12/Oct/2020:23:54:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/ HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 200 689674
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/bootstrap/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 200 25193
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/images/intro.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:44 +0900] "GET /JSP_board/resources/bootstrap/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:57:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:09 +0900] "POST /JSP_board/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:14 +0900] "GET /JSP_board/index.do HTTP/1.1" 200 11673
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:14 +0900] "GET /JSP_board/resources/bootstrap/dist/img/user1-128x128.jpg HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:14 +0900] "GET /JSP_board/resources/bootstrap/dist/img/user8-128x128.jpg HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:14 +0900] "GET /JSP_board/resources/bootstrap/dist/img/user3-128x128.jpg HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:14 +0900] "GET /JSP_board/resources/bootstrap/dist/img/AdminLTELogo.png HTTP/1.1" 200 10380
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:14 +0900] "GET /JSP_board/resources/js/common.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:15 +0900] "GET /JSP_board/member/getPicture.do?picture=5354c651c01d4bce80513583ff5d8783.jpg HTTP/1.1" 500 2136
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:15 +0900] "GET /JSP_board/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:15 +0900] "GET /JSP_board/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:17 +0900] "GET /JSP_board/main.do HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Oct/2020:23:58:42 +0900] "GET /JSP_board/main.do HTTP/1.1" 200 150
